"CUSTOMERNUMBER","CHECKNUMBER","PAYMENTDATE","AMOUNT"
687,"YA2421220342",08.08.2007,686,99
951,"EZ9475805902",07.05.2007,785,77
704,"RV4140158321",17.05.2006,443,01
823,"AT5924340350",15.04.2008,948,82
950,"MS3374415017",20.01.2006,369,96
1252,"NY1263887574",16.09.2007,692,21
573,"FK5944124602",20.03.2008,404,25
583,"CQ1501995678",06.08.2008,651,83
728,"IG6072055323",08.08.2006,776,21
598,"EY5168847109",05.06.2006,332,97
622,"IQ4767528598",28.05.2007,655,6
1136,"GM8084303375",14.02.2008,428,23
528,"MQ2378796611",06.09.2006,540,42
1066,"PR4568039791",12.05.2006,502,95
1057,"TF0632078339",08.06.2006,401,2
910,"UF1110710635",26.12.2007,493,48
876,"VI0175856330",26.03.2008,799,26
637,"YQ1720086995",29.03.2006,693,28
542,"CF2226744042",23.03.2008,761,47
1020,"RR7882960869",12.07.2007,261,73
695,"UF8566771358",10.09.2006,562,58
885,"SA7814322805",27.05.2007,631,53
637,"LO7920807126",12.08.2006,593,17
1066,"YA4396410594",14.05.2007,964,43
961,"MP2678709486",08.12.2007,422,45
1049,"ZY5854099360",17.12.2007,257,13
1101,"KZ0078832292",10.04.2007,253,45
598,"VR1681591033",02.01.2006,285,87
545,"WC4587188689",03.12.2007,263,29
935,"LF9112528237",17.07.2006,344,43
706,"ER3263107791",23.08.2006,271,28
981,"BT0172408559",04.07.2006,526,8
572,"CI5100737956",30.03.2008,835,08
1299,"XC4160353297",11.07.2008,586,08
907,"KY6923166470",06.01.2007,488,38
1097,"UR0760521162",08.07.2008,810,44
991,"HS4748710086",27.10.2006,852,58
529,"EQ6692461835",17.06.2007,948,85
1225,"PM6168756147",23.10.2008,632,05
769,"PS2078831816",23.09.2006,841,61
1025,"ZG6732709561",28.06.2008,682,51
1192,"AJ1712453521",15.01.2008,314,77
856,"VT3924230565",03.10.2008,282,66
1158,"CD7396914880",08.07.2008,732,67
1106,"EK9110709865",19.03.2008,681,72
953,"DU4602461828",23.11.2007,219,65
1287,"TH3786518595",16.06.2006,397,98
795,"IX2614395087",24.05.2006,808,17
960,"CQ8298877581",22.02.2008,848,7
794,"YT6720788350",13.01.2006,902,14
1203,"DN0339166728",03.08.2007,757,32
1187,"BS8512254363",07.06.2006,701,12
892,"GC6388265474",04.10.2007,650,71
1300,"AO8286631855",29.08.2007,275,41
1180,"PV3852493812",28.09.2006,687,55
991,"HO1589144892",13.11.2007,452,92
528,"DX2899111592",08.11.2008,489,23
705,"DJ9491544494",30.09.2007,233,37
723,"ZF9963558592",17.07.2008,233,57
522,"WZ2391520810",21.07.2006,929,83
1030,"XI1813782211",25.01.2006,866,26
1192,"CT7292721331",06.08.2008,905,41
590,"QX7262837043",05.09.2008,735,84
938,"EP5362733530",16.11.2008,268,52
981,"KV3586960748",15.03.2006,313,95
959,"PS2944558567",08.04.2007,470,94
1064,"BR1567191107",11.12.2006,777,77
1110,"YH3098003369",01.06.2007,862,44
676,"ZG0758024131",23.07.2006,549,66
539,"YZ8616907784",02.07.2006,746,14
1247,"UM7465234750",28.04.2008,464,62
598,"OZ5887143362",11.05.2008,802,97
697,"QL0633548289",01.02.2007,319,9
786,"SN7423890987",06.09.2007,556,73
971,"BV8696150986",05.12.2007,797,19
1093,"DW2496728877",26.07.2006,686,15
822,"LQ2161483575",11.12.2008,394,42
1121,"TY2649658340",26.11.2007,707,61
544,"PQ1065796777",10.02.2007,302,75
501,"JQ1158664141",09.09.2008,898,76
607,"IE3289750446",15.11.2006,774,06
622,"BA4899372900",05.02.2006,563,22
1101,"HA0360105263",02.03.2007,884,94
1034,"JM7831640483",17.10.2007,695,82
709,"QX3588910300",15.06.2007,974,17
1193,"IX4137632083",23.11.2008,850,13
695,"ZR8949568306",12.06.2008,656,46
724,"CR4885567386",21.05.2008,981,7
1123,"GY7480911970",25.02.2007,846,29
521,"GD3429350931",28.08.2006,295,2
1077,"DJ0741545091",07.10.2007,515,49
781,"UB0942474660",15.10.2006,908,04
623,"UR9649542193",13.09.2008,400,67
795,"CL7307546508",23.10.2007,310,88
1294,"VF5514389460",12.06.2008,229,78
530,"QV6348553901",01.04.2006,200,22
876,"MM7476032315",30.03.2008,491,99
866,"VM7396462941",14.06.2007,941,2
860,"KE4833901517",14.05.2007,789,83
872,"QA0467189170",30.03.2006,925,25
568,"SL3257964963",14.04.2006,831,12
1074,"QT7604916146",12.11.2006,280,27
530,"NK5017620608",16.11.2007,394,61
1093,"LC4972640537",26.11.2007,214,15
851,"JL8203763693",13.05.2006,784,88
1077,"KC9632516904",21.05.2006,975,35
656,"HJ9714125118",01.06.2006,431,03
729,"LN6989194038",25.05.2006,849,67
1124,"AK5008713809",10.01.2008,626,58
1082,"TZ0094764611",06.10.2008,428,75
815,"DG3159757823",04.04.2006,411,31
641,"NA8856229752",02.11.2007,434,11
600,"IY4917726565",21.06.2007,300,07
517,"SC6292205894",29.12.2007,708,58
517,"KD6249989641",17.08.2007,229,25
769,"DJ2320063764",29.12.2006,847,46
1000,"OO0916213872",11.12.2007,959,28
1191,"WA6872941218",17.03.2008,783,24
748,"LV0209615237",12.03.2008,298,83
816,"VB0422416463",29.10.2006,710,37
934,"LT7343334118",27.10.2006,346,54
1227,"PF7274680443",01.03.2007,290,4
971,"MJ3727234573",28.08.2006,737,23
1038,"HY6075867125",15.09.2008,962,76
968,"YF3674067171",16.11.2007,470,81
749,"LP6019356496",09.05.2008,253,78
540,"YS1770463916",18.11.2008,955,02
587,"FH1611780526",25.10.2007,272
1118,"UZ9122841971",14.03.2006,650,19
801,"JT8915382946",27.10.2006,760,32
1203,"WN5967469496",03.12.2006,415,68
1299,"GS0037678201",31.12.2007,381,81
578,"YJ5325463930",23.10.2007,379,58
991,"NR0653351559",16.03.2008,609,85
622,"KK3633108374",05.10.2006,727,16
584,"CG1199071733",27.03.2008,915,76
1081,"TG4572507896",02.11.2008,686,63
1184,"ZY9944436728",21.07.2006,949,66
690,"WF5103520469",25.08.2007,628,33
672,"UU5014036606",18.05.2006,946,77
1034,"NN0983849145",28.11.2006,838,9
968,"FE2855049018",20.12.2008,707,3
562,"LY2823406877",31.05.2007,431,96
895,"JT8771914058",11.10.2006,845,49
595,"VV9072603600",11.01.2007,263,89
1132,"MO6971161174",23.02.2007,632,89
705,"XB8903668512",26.01.2007,687,51
510,"EB2883444968",22.02.2007,520,24
518,"SY5580598208",10.03.2006,544,81
1198,"IW2922420062",21.04.2006,964,62
647,"UI1818448971",14.08.2006,826,01
1121,"JZ2061658142",23.07.2006,760,82
634,"TS3189044366",28.05.2007,955,17
975,"CV3941081230",01.02.2007,329,2
853,"PM0608787448",06.11.2008,549,3
794,"TL3186835105",21.07.2008,998,77
759,"NS4446991304",06.12.2006,393,62
509,"XY3166743721",11.07.2007,489,7
891,"NG2203953447",06.08.2006,526,26
995,"WX8461458563",06.10.2008,596,46
781,"WT8582789486",07.12.2006,382,05
1039,"CQ0550742190",24.12.2008,954,1
501,"KR9173745725",31.08.2007,758,87
723,"OL1788459194",30.05.2008,577,46
661,"FF8602871549",29.09.2007,789,94
1293,"EK1794642994",14.10.2007,456,16
1180,"WT1480578195",13.06.2008,780
1153,"ZI6649487548",25.09.2008,511,16
810,"UC4908222548",03.08.2006,946,67
971,"YD3959680357",08.12.2008,921,16
893,"EQ4187765913",22.12.2007,445,89
784,"VE5787489926",09.02.2008,663,53
1272,"BB2270480566",02.05.2006,604,55
1087,"FF5463766050",12.02.2006,930,11
831,"ZB5786845108",14.10.2007,285,51
855,"PO1075541992",10.06.2006,526,83
555,"NK3783914852",11.09.2008,215,24
1136,"AN3271879491",03.11.2007,293,29
646,"VA0637890935",04.01.2007,569,67
1249,"OQ8301473143",04.02.2007,240,79
705,"BW9935167452",10.12.2008,981,94
735,"TJ8256793201",27.06.2007,746,76
1127,"QG4392293038",07.07.2008,862,02
1199,"EG2867301889",11.06.2007,417,57
534,"QK2860665463",30.12.2006,550,16
1111,"IJ3135279557",12.08.2008,784,35
889,"GK3153927165",28.11.2007,414,65
1240,"LG7134889184",16.10.2008,883,37
809,"GJ0420145654",07.07.2008,398,48
545,"FS8767106989",24.09.2007,436,75
646,"MG7293493958",15.11.2006,770,45
817,"KU0156817975",09.04.2008,648,72
618,"BB2438543447",11.05.2008,393,46
831,"BW2687482434",26.05.2008,810,98
1002,"ON4050113964",25.01.2006,935,55
519,"MQ5989128580",14.12.2007,820,13
1192,"KC7155967669",30.06.2006,969,81
529,"PP3827968558",18.06.2006,202,86
1000,"EW6208071065",31.07.2008,483,31
804,"BP1034766554",01.04.2008,366
719,"ZL9763257517",20.03.2008,799,14
761,"JX3442757457",27.08.2006,793,84
980,"UF5034745754",31.08.2008,552,9
1277,"UA5749332755",08.06.2007,448,43
539,"QV4125499459",07.05.2006,409,13
629,"PH9239083864",28.11.2008,946,51
862,"OP7431844098",28.03.2007,905,21
599,"UG9678214892",26.09.2008,434,44
573,"BA2202444460",29.08.2006,816,29
1254,"HW2333575307",20.03.2008,309,37
968,"TA1860126245",21.05.2006,998,03
887,"QL9988896576",06.06.2007,898,21
1136,"TI5095197567",07.10.2008,834,54
759,"PJ7291730203",07.09.2007,344,58
1121,"KU7225751113",13.11.2007,443,29
973,"FG4246441993",30.10.2008,327,56
948,"BR3438650121",27.03.2008,921,73
590,"ML8300482014",19.04.2006,691,16
1241,"FH1622249040",24.04.2008,808,75
811,"JW4917559788",17.02.2006,446,34
1000,"TW1960187297",28.07.2008,827,27
853,"ZN5482036652",23.06.2007,775,44
1258,"XW7400636808",01.09.2008,527,19
529,"TA6923345190",30.06.2006,866,36
1127,"UW5968974665",12.06.2008,902,88
721,"KY9256411778",24.05.2008,281,83
831,"LU4614256811",14.01.2008,474,38
522,"GD3193557646",26.10.2008,780,28
1229,"LE5227403434",05.04.2008,339,22
584,"EU6510738257",19.09.2008,296,12
835,"JI2280441659",20.12.2006,379,73
1223,"TC3313390330",16.02.2008,808,48
961,"FZ2955014922",22.11.2008,990,56
858,"BR4002120428",07.03.2006,734,21
704,"GB5931983059",01.12.2006,831,11
683,"WM4388245053",04.06.2006,712,49
925,"UA2408921936",15.04.2006,850,76
1093,"EB7239191703",04.03.2007,268,35
762,"GG9774333276",25.04.2008,236,99
1250,"PT9678074750",28.07.2007,887,13
901,"AV7857884095",25.02.2007,641,85
1145,"EE4640752865",13.04.2006,363,27
1043,"UA5438389208",23.07.2007,307,56
732,"BC1919098060",20.06.2007,544,28
1140,"EF5168325697",04.01.2008,778,84
1085,"SQ2148183772",05.06.2006,835,46
797,"HK5160008457",24.10.2008,218,68
1284,"YB7411537929",22.07.2006,900,24
1225,"LQ9177901964",24.04.2006,572,8
747,"KW1950701279",12.01.2008,947,32
847,"IN6265985127",20.06.2007,619,66
807,"EQ1888242835",03.07.2006,279,95
934,"EN8114384995",03.05.2008,534,45
565,"RL2045749171",21.05.2007,248,93
1049,"LT3132172259",13.08.2007,448,51
738,"UU6197540161",26.07.2007,249,52
1187,"JY4115858011",14.03.2008,841,32
520,"LA2182049443",24.02.2006,779,95
640,"VB7997747721",21.11.2007,916,37
716,"IZ0191749645",11.12.2008,490,8
1249,"PR9630982849",17.01.2006,430,61
793,"SO8207169453",22.08.2007,444,65
1227,"LU1173987924",04.08.2007,824,41
669,"CH1034499653",08.03.2006,329,42
599,"XV1894112105",29.04.2008,580,07
826,"JF2783161449",07.05.2006,371,28
675,"GN3548867490",02.11.2007,374,82
951,"XN3788082322",19.05.2007,229,33
868,"XJ2130660482",16.10.2007,240,19
631,"RO4717386881",27.10.2007,469,84
735,"NH0235158246",26.03.2007,439
571,"TC1071557293",27.10.2006,766,33
793,"ZR9042220529",18.06.2007,979,03
757,"VS3542129021",21.11.2008,799,6
1203,"SV8236748954",23.04.2007,445,5
1132,"QS6088682504",04.04.2008,793,07
890,"WL1985432801",26.10.2006,403,62
1045,"HY0278940171",09.11.2006,959,41
1099,"LO0398879706",07.09.2007,649,61
559,"JE2844617134",05.12.2007,707,65
1212,"PS7197441166",13.12.2006,318,65
982,"NQ2609016453",01.02.2008,313,16
744,"OA5896003607",11.09.2007,347,82
773,"LR8335563985",31.01.2007,938,93
1277,"LZ2204926951",06.05.2008,886,83
851,"SD6859045185",11.03.2007,462,68
522,"VH0877409911",02.01.2008,598,94
1265,"NK4850900592",13.08.2007,360,73
891,"CV9397024870",05.09.2008,252,25
669,"RZ5412939790",14.09.2007,381,33
1174,"XY6567553156",15.05.2006,215,26
892,"OQ0758551379",02.01.2008,347,07
513,"GT4545803227",23.08.2008,889,03
1113,"JI4367588621",03.12.2008,419,65
785,"CD2361801066",10.08.2006,385,13
931,"OI1101713443",23.09.2008,381,94
848,"WD4710161769",09.10.2007,939,19
1198,"KH9442605211",09.05.2007,396,52
932,"LL4595518828",19.06.2006,690,67
867,"OA5625189244",05.11.2006,934,85
1091,"AD1276486344",16.10.2008,200,45
549,"RJ9374835489",24.11.2007,387,88
667,"CR5838095088",14.11.2008,682,11
772,"WH9412055483",08.05.2008,715,84
1057,"MG7553313107",01.12.2007,227,65
534,"OM9794631058",09.10.2007,225,58
876,"WF4871459012",02.11.2008,571,77
584,"PO1802658637",04.08.2006,421,3
973,"PZ8630119283",20.02.2006,610,11
646,"ZZ0498760051",22.09.2006,318,91
1032,"SY1691205339",17.12.2007,410,09
1191,"ZU7413768443",01.10.2007,484,24
1123,"WN4203942784",06.06.2008,887,07
862,"AA6259881515",31.01.2008,211,35
744,"YA9219157431",30.03.2007,506,2
749,"KZ6032404471",13.04.2008,540,7
693,"GQ5292284264",06.06.2008,963,86
614,"JN9162277773",24.09.2008,284,82
1114,"IM6049086368",25.10.2007,455,58
1216,"WE2085486706",01.10.2006,525,11
1286,"ET2088828665",26.12.2007,291,55
651,"PK0951984532",17.12.2006,224,28
1064,"OV8030768977",23.08.2007,737,01
1065,"XU2045851636",25.05.2007,307,02
1272,"AP6577390582",26.08.2007,272,07
786,"RO7080229278",15.11.2006,854,77
734,"XJ8646526299",06.05.2007,641,94
657,"EX9920512567",23.07.2006,581,79
525,"JO5383841578",11.01.2007,952,04
822,"WA2124497493",29.09.2007,963,93
1225,"TB6005637839",03.10.2008,897,94
934,"FO2577015966",06.08.2007,727,73
1065,"VD6144600726",10.07.2006,867,19
1198,"PK1888063476",19.07.2006,921,72
847,"BZ9113727434",16.10.2008,349,65
1158,"SM4025154115",07.01.2006,742,01
701,"XY8916335193",21.11.2008,299,79
1264,"TD9402469492",02.07.2006,310,74
782,"DT0600073430",12.10.2006,258,75
892,"GH3576793771",25.12.2006,968,05
604,"JV1647652099",17.09.2007,412,13
1205,"TM5521550604",22.05.2007,978,77
749,"WI5369771355",22.04.2008,386,47
858,"UP9520269321",23.04.2006,726,94
573,"AB4665504494",01.08.2007,518,5
1209,"PK3483548068",03.01.2008,727,14
582,"OF7718617483",13.04.2006,820,31
932,"DK5699186505",29.09.2007,364,96
1044,"WE2905803916",20.09.2007,757,44
1269,"TB6912063531",16.12.2006,645,87
612,"JA9137446479",08.09.2007,507,94
771,"TP0020023289",23.01.2006,230,29
888,"UV0845879142",09.04.2007,827,68
728,"AP0116198524",05.09.2006,509,67
640,"GA4447750733",17.04.2007,460,38
506,"RP0558111051",06.04.2007,691,03
561,"TN5352476083",17.06.2007,849,61
556,"QQ7259836727",25.05.2008,846,27
1147,"GN3300322821",18.04.2008,587,61
595,"LG9562057913",11.12.2007,307,24
1114,"EV2174059908",14.06.2007,215,25
542,"AR5874935010",10.06.2007,890,08
589,"ZX3282668052",05.08.2007,928,39
1042,"BS1631911764",22.08.2006,668,93
545,"TR7602623045",05.07.2006,888,64
595,"WE4572085190",08.01.2008,233,3
1004,"WK9910906624",22.03.2008,637,35
1129,"ZY6339684650",27.08.2006,213,72
1129,"SY9358208285",25.10.2007,220,21
1129,"YB2730232909",08.07.2008,987,2
674,"ZZ6415046421",05.03.2008,291,26
1205,"JZ1199502189",10.09.2006,335,11
640,"HY4897274339",29.01.2008,935,88
968,"BZ7270185554",26.10.2007,266,59
851,"LR6390284552",25.07.2008,477,69
883,"JX6117247673",15.05.2006,895,26
860,"GL2428199927",11.10.2008,565,68
522,"RK6274224283",14.03.2006,608,36
885,"QO6771427290",25.11.2006,228,19
667,"KN0463686414",04.05.2006,853,96
728,"JY4181778123",22.08.2007,371,95
889,"AS5271833512",05.12.2007,538,95
899,"WE0891005969",07.12.2007,658,07
1229,"ED6603624529",18.08.2007,726,29
757,"CW3303781499",23.09.2007,441,68
706,"UN8971040879",24.06.2006,500,93
1028,"ZS1876015289",02.05.2007,976,36
565,"LL6653193155",21.06.2006,582,07
914,"MR7493002642",02.04.2007,604,31
811,"OX4687334230",12.01.2006,352,84
804,"KY7243199517",20.02.2006,627,26
1002,"KF4199850647",24.08.2008,298,96
684,"LB4274424026",05.12.2008,637,78
907,"XS3885426131",16.09.2007,853,93
758,"EZ2020762877",11.10.2006,726,26
622,"ZR7866122228",22.03.2007,981,97
1034,"YM1145300771",29.07.2007,625,41
623,"SN4040403477",08.09.2006,946,76
516,"HW4076154934",25.01.2008,553,57
716,"KX2205452752",28.01.2006,262,26
506,"GF2552473409",25.02.2008,926,08
647,"WJ4155685567",16.02.2008,449,71
917,"MG9405533718",30.06.2008,266,68
1052,"VX4179469918",16.09.2007,786,48
1121,"UI5490906390",29.07.2007,620,24
714,"QB6800580830",04.08.2007,372,17
1054,"WC3802364190",26.09.2006,395,21
587,"SP2353432214",10.03.2007,211,22
809,"FE7275098381",07.12.2008,693,98
742,"IW8402855274",10.05.2008,465,23
855,"KO4037478642",10.02.2007,880,2
633,"UW6454891646",06.03.2008,812,56
1196,"MT7621178915",28.11.2008,824,23
1080,"BV4521354250",23.10.2007,219,62
510,"XW2628163127",18.07.2008,220,58
532,"DJ0901534513",07.07.2008,225,83
783,"EL4550272845",09.08.2007,426,94
718,"YW9822015532",01.11.2008,923,88
1250,"JZ0810412568",11.03.2007,288,71
647,"ZB0115158089",17.08.2008,225,54
583,"JJ2630732937",05.01.2007,431,13
1098,"ER3004322397",25.11.2007,995,56
565,"JZ5706542734",18.09.2007,978,58
1173,"QF8408210827",02.12.2006,260,19
698,"VO3222063951",30.11.2006,841,29
828,"CV1382022273",07.03.2008,996,98
879,"IR8996705507",12.01.2006,248,29
632,"TR9792674770",25.10.2006,252,98
600,"HY0026157029",02.11.2007,550,62
798,"GV9240262200",05.01.2008,549,09
1259,"IU5161197501",22.11.2008,919,06
678,"TV2421641072",03.02.2007,581,49
542,"WM0968060817",04.06.2007,467,21
847,"JV7519798123",24.06.2008,755,26
627,"GX9033509511",20.08.2006,994,84
917,"WS6115954063",02.10.2007,948,93
728,"LZ0120686108",01.05.2007,816,38
1207,"RH9869430935",24.11.2006,348,03
904,"IU5792774217",31.12.2007,462,91
716,"LD2027382127",02.07.2007,859,15
644,"AZ3328429879",11.07.2006,481,25
775,"EV2298110714",19.07.2006,370,49
509,"FA8544008141",07.11.2006,939,44
735,"QS7220691371",11.08.2008,608,03
804,"QX6880813406",21.07.2008,843,75
914,"SG6857074745",18.11.2007,405,89
1158,"AR9986070027",08.03.2006,322,45
925,"QZ8829026890",07.10.2006,303,9
1030,"BW8350135938",10.03.2008,789,42
714,"OB4920314348",05.02.2007,766,97
735,"NW5222840222",19.09.2006,813,37
977,"LN5932631008",30.01.2007,229,3
860,"XW1779232797",11.07.2007,937,54
763,"QE8855222008",01.10.2007,458,28
1062,"CG1667219578",13.01.2006,871,77
1240,"FH0728190788",27.06.2006,456,64
1164,"LZ8549073112",23.05.2007,959,85
873,"VX5668323706",07.11.2006,923,25
1087,"PU5447160329",01.01.2007,263,66
716,"UQ5668527313",20.02.2006,230,38
621,"HX3633374476",20.09.2007,449,93
942,"OX0319080553",01.08.2007,989,47
1281,"LJ7149384282",15.12.2007,367,21
934,"UC1513317433",28.06.2007,227,81
868,"UG3810491818",11.03.2006,405,71
733,"IZ6749879157",07.08.2006,623,57
701,"MA1783312246",26.11.2007,498,22
961,"XK5717245217",15.04.2006,611,62
1145,"ZZ7074078137",11.04.2006,988,11
815,"TC2227987933",14.07.2006,909,06
534,"XC5504882402",15.09.2006,817,23
1066,"QO8444875124",12.07.2008,786,16
641,"HU3781663394",22.07.2007,217,81
1140,"PN1624377228",10.03.2006,659,39
962,"LD5614419972",22.12.2007,981,38
516,"AE3403571551",21.03.2006,570,13
855,"ZI9345693823",19.11.2008,872,37
892,"TG7066556196",12.07.2008,678,36
716,"AU8499097109",05.03.2006,703,23
517,"ST8208787342",30.05.2007,298,15
633,"UI7941438563",29.10.2007,247,64
1114,"AE9053916746",14.06.2006,481,05
1184,"GD7957407289",11.03.2006,579,1
1046,"DG2280597886",25.11.2008,763,75
711,"SL3538811418",15.05.2007,843,64
1004,"LQ0293445707",05.12.2008,487,07
1054,"FI6373680547",16.04.2007,949,49
526,"TZ2703230675",24.07.2007,916,53
704,"VD6107312390",23.11.2008,240,11
531,"AA0136143559",24.01.2006,499,26
909,"EK6514494432",03.04.2007,754,12
724,"JI8597753884",18.02.2006,225,25
669,"ER4908090286",08.12.2006,221,49
1284,"NY2738100277",02.02.2006,679,82
879,"IJ3887298466",28.02.2008,943,69
969,"GG5195881763",16.01.2006,819,98
805,"GS0696954325",26.01.2008,216,33
1170,"ZZ3084471117",10.05.2008,236,76
1284,"ZU5651429710",14.01.2006,411,58
834,"TG1194508169",03.07.2007,726,15
774,"LI4422544233",21.02.2007,311,74
631,"WY6984732263",27.11.2007,432,79
514,"MO6054418044",19.05.2007,607,13
866,"WN4140692460",25.12.2007,901,67
755,"AX7807008391",03.08.2007,906,41
504,"OJ8899808680",22.01.2008,329,72
1281,"QM2659449643",03.04.2008,794
1124,"WF1944296011",21.10.2008,991,14
1219,"JH0444865329",08.07.2008,664,51
683,"TN3787568551",03.04.2006,280,14
733,"BD9623448869",10.07.2007,515,04
1186,"JM1070208809",19.06.2007,508,64
920,"HQ1639852749",22.11.2007,232,47
1051,"TA5340485671",15.12.2008,379,47
521,"VR9229465085",22.04.2006,426,94
823,"SX9269360323",25.11.2007,761,88
625,"PK1798658237",30.11.2008,981,91
990,"ME8588237263",27.05.2006,490,67
804,"IE6760531187",01.11.2006,866,91
618,"HL3638733994",05.11.2006,630,65
670,"ZE2776105599",08.07.2008,241,03
743,"EM3348625484",14.07.2006,653,96
683,"IC7317371817",11.04.2006,913,96
925,"LK9158928339",26.12.2007,311,13
864,"XE2123238903",30.06.2007,675,9
1200,"AS1659897190",03.05.2006,894,38
555,"BF3067354108",06.02.2006,906,91
1165,"ZY8969642987",03.07.2008,939,43
631,"MX8971339201",18.09.2007,486,24
980,"MT4041475685",01.07.2007,439,4
1176,"CB5601598424",12.03.2007,382,3
1085,"JY4469897035",29.04.2008,206,75
528,"ZC2353672026",12.06.2007,875,93
527,"HE3836137676",11.01.2007,559,07
847,"SU6693896854",17.09.2006,394,02
1231,"GD9216169136",18.01.2006,277,7
1163,"RV8041003234",25.09.2006,262,55
595,"PA6163546908",19.04.2008,241,7
797,"JC4643673213",28.05.2007,977,75
1090,"SQ3766144726",06.06.2006,525,91
993,"JT9270253940",13.05.2008,887,02
534,"FG5742690066",27.08.2008,516,72
538,"OC1131209896",25.11.2008,722,36
525,"SA5845337593",05.12.2007,598
555,"MN9882765925",28.10.2006,887,37
837,"GB9636351073",14.07.2007,638,12
809,"FA1769625145",05.03.2008,810,49
993,"AP1638797007",14.08.2008,319,09
925,"PD6671787377",05.05.2006,297,43
953,"CX9407407166",27.09.2007,740,24
1274,"UQ8384019435",14.03.2007,891,72
546,"NK9813589970",09.07.2006,752,14
1120,"JN1569769073",19.11.2007,834,22
862,"NT8777055922",29.04.2007,978,87
710,"MV9367660267",24.06.2008,749,91
1165,"UG0866737028",08.02.2007,524,03
1117,"DT4134673830",16.09.2007,336,38
1266,"RI6997503009",25.03.2007,970,01
1102,"BZ4685983158",14.01.2007,327,66
917,"TV4298241080",15.08.2006,929,98
1247,"OQ2594924853",30.10.2008,515,18
618,"HW0239977720",12.08.2006,338,67
586,"VT0405698869",12.12.2008,470,24
506,"AL6024284378",03.06.2007,729,98
1240,"AK1826369450",05.07.2008,482,07
1200,"VD0487600649",13.07.2006,590,38
792,"DQ0146682481",25.07.2008,551,78
900,"KG5326128664",27.05.2008,948,59
599,"EO1863164778",13.02.2008,924,86
943,"RC7233477768",13.02.2006,913,78
769,"YM9439706976",29.08.2008,912,32
1294,"EQ5800281563",09.04.2008,616,82
1163,"WF1238222177",14.02.2008,424,47
697,"ZH5198691483",28.11.2006,380,57
1216,"MZ3917248626",21.05.2007,426,37
1200,"IM0182884720",22.03.2007,269,58
798,"RO8852131196",30.12.2007,672,3
1025,"GF7095895419",18.09.2007,700,08
902,"WS1141332931",29.08.2006,689,42
893,"CY2930148358",16.11.2007,980,35
571,"MW4041316116",10.04.2006,863,64
516,"VY8630956513",30.08.2007,388,79
718,"VX5176652827",24.05.2006,828,39
669,"QA0322639403",04.02.2006,244,66
1055,"DL3013373396",09.05.2006,422,83
1088,"GB3887352188",22.10.2008,877,38
913,"GF2789057110",21.11.2006,784,14
1155,"LQ5016781674",08.11.2008,956,52
701,"HJ2749783371",15.01.2008,717,75
1028,"EN7602320752",29.10.2007,758,27
876,"VA2445646356",09.08.2006,598,3
556,"IX5207451852",19.03.2006,464,4
1164,"WW4073592273",19.08.2007,547,2
1111,"QL3738185753",20.09.2008,764,39
