"ORDERNUMBER","PRODUCTCODE","QUANTITYORDERED","PRICEEACH","ORDERLINENUMBER"
11799,"yYWROMmGeYxvU",29,310,11,7
11641,"oDtpZdtqCLObH",6,330,24,1
11961,"HXmXviNTafiw",27,348,27,1
11092,"hYhItRURrBjOCja",12,334,49,2
11017,"EhIxXHxJfQUQjx",29,310,28,4
10814,"tnldFFIUrUxfkS",11,308,75,5
11577,"jpLbRKQBxLoloA",30,303,86,4
10599,"cffuQFAkyBDFC",7,313,68,7
10561,"fHAHoqAoEKNbL",26,340,45,6
11887,"NrLBZoryk",16,335,87,3
11922,"XFyyAlrlLEijEwr",23,334,37,6
10731,"tUIwTvwonhoZG",29,347,44,5
11826,"AGPkOZLXgDIV",26,331,41,2
10974,"xbPMdZue",5,304,25,3
11163,"uYIOgKVCbczM",38,350,03,4
11524,"qZYKXZOgmr",21,338,18,1
11820,"hmRYQxmIEykUH",12,300,84,7
11775,"AGzYzQZw",31,341,85,6
11104,"FCeUWDMOsYkc",47,309,85,6
11182,"TcgOKVEUlG",34,347,67,3
11811,"opMAEBUQM",4,306,5,1
11026,"RoudbtBmBfo",21,313,69,3
11417,"YsHaOdGjAsO",7,348,24,7
10548,"CwnXqpprH",36,335,97,6
11203,"teQfsHOcoRV",19,313,32,1
10726,"NtbdTFBU",44,333,02,4
11433,"TLviyLBPbBJ",1,306,26,1
10777,"ehVKKrOxepuzq",16,349,43,6
11399,"UBiLglBQFRgOZq",11,331,25,6
11014,"hnZVQoJdjB",43,345,89,7
11210,"eeaLuoubkR",14,348,66,4
10717,"JxUKiGudPtLoDzW",20,342,49,4
11222,"ujGHtwJaBZmADW",10,314,28,4
11245,"WPamzGeVAtnsXZ",37,317,52,5
11109,"opMAEBUQM",3,323,14,2
10997,"HMAJynIpUNn",41,346,51,3
10925,"ZGLccvny",1,330,05,6
10784,"uQYdKnMZ",33,307,23,7
10725,"egyyccQS",5,307,38,7
11830,"FoqTfixzbFgQCk",32,323,4,1
11546,"uQSGdkMv",34,337,9,6
11946,"OYsnEpJpJ",8,330,03,7
11329,"FJcblzTqgpMJp",36,305,78,6
10740,"dqONpQkdJC",31,315,42,7
11816,"fdomRFupDJZyeb",40,339,38,5
11099,"uxeqkNynmI",8,310,53,7
11454,"kCuIAYVxriKSk",38,318,87,6
11394,"ObcpKtVMP",2,330,58,3
11672,"OaKADvAvpfI",25,340,97,2
10666,"KatfueNcBgCy",4,333,03,7
11098,"ruBemIVGuMT",3,326,66,3
10995,"UdKENjsme",41,320,5,3
11883,"yovDUlyX",9,332,68,1
11879,"uRIiKOsNg",22,321,58,5
11515,"FcGoqhRFKu",47,338,91,3
11845,"lnUcHSKeHYo",4,301,51,7
11353,"PBaxpkln",7,333,5,3
11888,"KLEioEwPpwaBu",40,321,89,3
11225,"NlNrtjSKZI",26,308,46,2
11550,"bmudNIsvoADPr",39,313,31,4
11436,"InzxQjpTOp",2,350,92,6
11510,"pJmXuVgG",39,315,16,7
11313,"NlNrtjSKZI",36,315,19,3
11887,"tHoSgdPwpe",43,317,23,1
10769,"ZMyUgABjgZzw",49,305,41,1
11583,"teQfsHOcoRV",35,328,04,4
10847,"VopjRwcC",6,307,45,1
10679,"ePXkjYDSEUyH",30,339,58,7
11218,"cSzIYQofZdqLBbM",34,327,44,5
10589,"mjHMoeRPPeQn",14,329,22,1
11602,"XVGRmiUarACGTMo",37,317,85,1
11500,"zwLBJFLQYOqeGMb",22,350,75,7
11392,"yaCHroQrRNIAR",14,306,2,2
11343,"vMpwyqsTVFzND",39,320,29,7
11226,"yWmLNewwTocE",21,338,38,3
10777,"EzBjormlEjb",40,338,6,3
10947,"vfjGBsmvF",45,320,41,7
10999,"ZSPxKPToAkplc",21,315,15,3
11141,"UKbiDxxQ",12,313,37,4
11849,"oLYAeMSBpxa",29,321,21,1
10551,"VoDjqZHNQFdcsHl",15,320,73,1
10909,"ncCOXNFaXnjwR",7,309,87,1
11060,"DTsShUkbrMVmCgi",29,301,17,2
11899,"UaBjihwFKFKPw",37,350,24,7
11566,"DeZjOfYhPtNiaM",50,337,7,3
11823,"RirrLBwTlG",31,344,84,6
11399,"Qdtjocsz",6,346,11,3
10783,"UbCteJtIcPCoWCG",12,300,83,5
10680,"SyBYIOwvzTxU",20,348,85,2
11649,"TNrExFsMrcOXeXO",31,302,7,6
11462,"ZUjMmixQ",25,315,35,2
10767,"AuGiqUQh",17,314,31,3
11452,"yovDUlyX",40,314,61,4
10599,"dWDoyBxNkuCbi",38,308,07,3
11249,"lEcMsmIZNDQIY",49,312,2,7
11356,"YtMJVPFMwIW",7,314,32,7
10913,"teQfsHOcoRV",50,332,12,5
11101,"apzdnBGagXqn",18,302,55,6
11599,"TWrdsuiMFIEMPCN",40,341,05,2
11721,"HTDEIJNuuix",26,328,48,7
11998,"yqSgeBkpE",44,346,27,6
11481,"uFFyDRxrTIhAoo",42,323,41,7
10804,"ZbsdDmMUpooXVMl",14,344,87,5
11483,"QzuKZfXBAdKwAJ",15,342,05,6
11422,"JXKVPOaGc",36,335,37,5
11863,"jXrUieFx",14,314,25,3
11485,"qgBdYpFDijq",46,309,62,4
10852,"mCZPmNzPIr",41,345,78,2
11940,"VNEAqXYSRCNgP",21,308,76,2
10894,"SKnzXlnhmucoMK",21,333,68,4
10642,"xzfiFZwzsYq",11,333,59,5
10898,"GEVKzCLxBvFr",33,323,27,6
10790,"IKafHmpvhmoaGSr",20,320,57,3
11081,"sSUQHJZARE",38,346,84,6
11910,"dShRffRsafn",11,305,1,4
10860,"kzHKOsbR",47,330,66,7
10898,"OxkHDEOjyY",22,346,29,7
10665,"keKnBDfTniAEKRn",14,313,05,2
11547,"HiBxsHaketqlBM",50,309,38,1
11254,"jwSGYNIJVduKfeJ",30,312,08,1
11863,"nbEdmexxW",10,328,36,4
11352,"cULvMDyhLOPQqWe",7,314,9,2
11265,"TcgOKVEUlG",47,338,13,5
11932,"hyKyRuNRMpRLRLm",16,313,07,3
11584,"gfMnvBNaw",38,339,39,3
10925,"zoeEwwFQm",48,321,09,3
11603,"kUHyHZzvAd",38,320,63,7
11861,"JMVglLcBQ",25,327,83,2
10814,"YDMLftBlk",33,302,9,1
10867,"WgXZbVQmGogit",13,347,37,5
11065,"XFVzmrSfKtFmnrE",19,323,68,3
11875,"telVeMLmwa",35,340,73,2
10681,"EmLmXfuBWeUA",5,341,24,7
11963,"mURJMtXKawFNn",13,302,18,3
11342,"LTQaNFbiAd",34,308,89,5
10572,"qXrnkSFqdMsuYs",16,307,3,6
11944,"VRwPoYbgVfhzW",35,324,34,2
10863,"cKVVyCrHFyaF",3,332,26,1
11275,"UfIQDfqzv",44,313,5,1
11986,"ePjQEeTbfXbYmZt",32,329,46,5
11436,"hZmIyzHqLRiIpTh",8,300,53,2
10681,"ALTkEPxNnT",46,343,48,1
10686,"DyYfiOBh",1,341,38,4
11275,"ZCkoNoVTzAWj",8,311,72,2
11543,"orAFfBmQroEQnb",38,331,77,5
11732,"BjLCsbBL",7,327,38,6
11866,"tieXFdoxzyI",46,320,97,6
11488,"FzgGoGSM",9,321,12,4
11170,"cffuQFAkyBDFC",32,344,95,4
11688,"AwSEkZGGaT",2,321,41,5
11669,"KmHItBYzRodZMMA",11,333,86,1
11953,"tsxYkWNIqNdgiV",42,326,16,5
10966,"fRqhCRNuXMV",43,304,72,1
11177,"hyKyRuNRMpRLRLm",16,308,78,1
11516,"sqQGZPPkVPmR",7,349,78,2
10979,"WgXZbVQmGogit",15,333,92,2
10928,"YtMJVPFMwIW",16,300,34,1
10731,"JhTmHrwEF",38,312,46,4
11675,"acAlQfdDeVFp",48,334,15,2
11945,"ytVGtgmcEEmoLWk",20,313,63,2
11236,"qkuadFIcgnyvgW",28,342,8,7
11262,"rzOwEnqAOA",10,326,82,3
11590,"AwyoBzIys",24,320,66,5
11334,"nnjTtTLxwrIaAFp",26,314,68,2
11671,"DnkFZUPuERSl",7,330,68,7
11841,"hgXDITqSGxV",40,341,63,7
11254,"aBwhmhyzNqRWlM",8,346,89,3
11711,"HMAJynIpUNn",38,320,18,1
11573,"tfwtZgNXLftl",8,337,66,5
11399,"tQvtGFIXpL",36,305,51,3
11627,"OaKADvAvpfI",9,303,88,6
10947,"VNEAqXYSRCNgP",24,345,8,1
10902,"TciLPWpzxZnb",12,304,5,3
11707,"fiLbbsBYBjZvH",48,334,65,2
10911,"YGzSdYwHxMpmzZ",7,311,29,5
10542,"aHmFOHthGT",8,325,24,3
10585,"bAgIhgqt",33,307,42,7
11761,"BoKnWWvEtq",34,300,48,2
10735,"tNEZeXGw",43,344,06,5
11966,"jsXnYEZyM",25,342,76,7
10628,"utIxUoGiQEKedKy",1,332,96,4
11558,"YuyWzjLercw",36,324,98,7
10590,"EJEQVlQrPWEURB",31,333,63,3
11497,"XhxCYMzXohyrw",43,346,71,3
11599,"DkSsfXFrCdTWPCN",45,323,37,3
11516,"uRIiKOsNg",21,349,28,3
11159,"VmlImYYmFkx",28,336,02,6
11459,"mqokytIGmFlvYXy",5,312,02,3
11388,"TxkmgzsTHpY",12,339,99,5
10797,"pXhSzVHodZqDo",43,304,13,4
11009,"WhQSJmYovnU",37,308,24,1
11480,"pnBPRrWD",30,342,23,6
11333,"jcbqZRJSPRxm",28,334,83,6
11602,"fxYArtOBSeyqpsn",14,321,75,5
10532,"TZVXRuGq",44,308,18,3
10790,"hLeTJcRXrk",32,303,32,1
11368,"wTIrQQMFLO",1,345,71,3
11964,"bmudNIsvoADPr",46,326,76,7
10587,"qkuadFIcgnyvgW",12,302,86,7
10754,"XhxCYMzXohyrw",8,314,26,1
11930,"eYolwMseg",13,350,7,7
10968,"XVGRmiUarACGTMo",7,330,78,5
10921,"zOfbDfUdla",47,349,29,7
10681,"VRwPoYbgVfhzW",39,310,86,5
11951,"TQIleZGDvwp",49,342,23,3
10627,"WxSstLFfuNaO",41,310,02,3
10717,"bubeRYnyDqx",21,332,56,5
11379,"QNAWMUth",2,313,31,3
11313,"usdkDRZTZAJwjen",28,315,25,4
10735,"KjSyTXZx",5,327,9,2
10673,"MOrTozuHXDrJ",25,331,43,1
11277,"rknPDTsOnbsxUz",7,327,56,1
11026,"oUWkyqMCEqG",11,322,28,6
11997,"egyyccQS",22,342,53,2
10980,"zOfbDfUdla",14,337,39,7
11427,"tieXFdoxzyI",43,339,13,2
11883,"TIHqodKiixpiWe",8,340,56,7
11278,"LGOuSspbdScK",48,310,27,1
10530,"iyUjuzlAt",50,346,26,6
11360,"pvzIWLuctQBAr",41,348,15,1
11481,"hiWZVbCT",23,307,94,2
11812,"OuJkUDCMywBO",7,330,79,4
10689,"WgXZbVQmGogit",25,313,6
11477,"bAgIhgqt",3,344,01,4
11877,"ruKKfzDErWTCkW",40,327,61,3
11026,"NXSnVtUy",39,323,86,4
10932,"LCeLKFjGNXesar",34,326,07,7
10959,"FixpoiPNHVy",47,321,42,1
10755,"eTFCZdJAadCPSw",1,328,26,4
11704,"TapLrhlXWJZClv",16,308,16,4
11840,"WxVXnVwQpcB",30,339,28,4
11276,"mQWGISIjenj",18,337,78,2
10700,"ZHHpKmwtasSIvF",22,300,61,2
11716,"ourzmIQalfCDnx",23,313,78,5
11263,"VbhYawdoZIEuF",27,327,16,4
11404,"vyeFgXDeOeDB",12,306,31,2
10820,"YDMLftBlk",49,346,09,7
11662,"TxaTUebgCJdY",2,336,13,2
11152,"QzuKZfXBAdKwAJ",43,303,32,6
11068,"OUIvVfoEuGfV",20,340,06,6
11449,"mNxolSQJS",12,333,79,6
11224,"tCvowOHRE",17,331,28,4
10983,"OKbJTLLaCBiKJWU",26,303,83,2
11653,"TxaTUebgCJdY",32,322,16,4
10554,"XsPjKpLwSerN",7,337,66,5
10500,"BtmiHetHJgAfrN",27,303,64,2
11440,"FoqTfixzbFgQCk",29,335,63,1
11745,"NWzPhHSMazKvDZ",13,332,55,3
10744,"RjqVtupmnbvrY",34,325,3,4
11826,"mIyxQIdbd",33,333,1,5
11230,"VopjRwcC",22,340,75,4
11929,"dKGAhRRFl",39,301,03,1
11086,"VFoEoyUcsCn",10,321,25,2
11785,"jzbBNmZkermUa",38,337,94,5
11034,"CkeqycFx",47,329,38,7
10750,"EkLgltvl",1,313,06,4
10990,"ROQDjRiENZH",32,331,53,7
11484,"vfjGBsmvF",14,337,57,1
10666,"EQemtzMEAjSoJsE",9,325,03,3
10692,"MxAUKKFv",29,345,56,4
11099,"QasmLYaeqAD",33,334,89,1
11168,"QgTMAqeKpkgh",50,349,2,4
11271,"iPDRiRfzHruHbq",11,325,64,5
11137,"LXJOsRzAU",19,349,77,6
10984,"yWmLNewwTocE",19,341,09,7
11465,"tRZjhinQJDsHts",3,325,81,4
11689,"cvJDSoxzM",32,331,5,6
10806,"wHZTEalSttK",41,324,61,1
11371,"FIaDqePTmjBo",3,312,16,1
11882,"iMQjurmm",20,339,37,5
11923,"NTWCcDtmeoAefPp",39,338,26,3
11248,"pFbLWCRihZ",5,329,54,2
11305,"oULAbtXzqx",32,303,41,3
10865,"ybySivmcTyAKF",28,346,87,5
11931,"UaBjihwFKFKPw",45,345,69,4
11951,"ifcpUtXpLzU",38,334,95,4
10997,"TBHrKotR",47,314,66,3
10717,"gVdewiqxALbgRL",29,303,5,4
10819,"ahwVKllMt",5,331,6,4
11634,"XiUwfCtVuUuU",36,317,84,4
11639,"HiBxsHaketqlBM",39,310,27,1
11955,"vvAqwlNQ",28,317,12,5
11570,"mOqjgfTD",8,343,41,7
10893,"xRbHuuom",27,347,85,2
11634,"LJTjJvxtM",45,305,96,4
11213,"qMgLQzXklEUFbjx",6,334,8,5
11726,"xcSDWgHWQ",48,300,1,4
10703,"taEVVUSGyZgQB",49,307,15,1
11526,"DmzSifYgvEo",35,318,79,5
11193,"SChzeqfkPiIdlO",29,329,1,6
11483,"sLooNmdnCNok",48,319,45,6
11477,"lNeRqYUUO",46,314,08,4
11130,"opMAEBUQM",35,333,02,2
10672,"wHZTEalSttK",7,322,13,4
11719,"tQvtGFIXpL",18,347,95,7
10922,"JnRbEAocZtWGFC",25,322,02,5
11187,"PvVroGvvwOD",50,332,87,5
11211,"CfjvjufHW",27,349,2
11922,"VopjRwcC",6,316,18,6
11030,"uuKdpxUa",37,320,05,7
11225,"KoiKvkqgwGFoU",16,300,18,3
11840,"uwqwLBeKPSTgJzY",47,309,85,5
10585,"RNbPwtsIZ",35,310,06,5
10907,"FyTpGRVVC",13,320,38,6
11636,"RhsViGfIo",3,330,01,4
10977,"XepmylUdMEvQg",11,321,8,1
11728,"DAXZaQEIJiQLiC",40,350,39,5
11179,"TwaMTzadGYtwlDG",25,336,14,4
11752,"IUjqlPiWDfAn",50,303,49,4
10838,"ZMyUgABjgZzw",23,348,13,7
10538,"mNxolSQJS",36,341,25,6
10977,"ZHHpKmwtasSIvF",8,349,6,2
11849,"hrNypwqLCozz",50,340,91,1
11097,"ujGHtwJaBZmADW",43,327,26,1
10575,"gkVTNaGkpck",33,339,97,7
10574,"lXUCzftQwjkKQi",48,321,87,7
10886,"FKkiIZhfPspYBtE",15,302,7,6
11732,"KZhQwBqz",45,343,3,7
10680,"PvquoXrfcnuVtLv",36,333,49,6
10814,"IUjqlPiWDfAn",34,345,82,1
10902,"tQkyzlcdMyvRZT",42,325,25,3
11073,"KatfueNcBgCy",38,328,34,2
11651,"hnZVQoJdjB",43,336,43,2
10760,"MHasHXZGrKYmQqm",31,330,93,5
11542,"fZrIWISaFtfgU",10,302,8,1
11852,"NTWCcDtmeoAefPp",13,315,77,6
11876,"ewIPkbBW",24,301,18,4
11770,"BFJSuavztXxwkl",15,340,96,3
10837,"HgAwQeTT",26,302,27,2
11960,"TIHqodKiixpiWe",40,327,29,4
11791,"POlqtqpwPOv",4,349,71,4
10771,"KmHItBYzRodZMMA",21,310,59,4
10542,"bBVxahamR",5,331,72,1
11612,"wKYoeYABvJqWaLq",47,301,35,6
10969,"yXwvlSBNcL",20,307,93,4
11165,"tNEZeXGw",11,313,05,5
11185,"qnchQfZsErjKvW",48,328,49,2
11577,"uNttZPHTnBBaoGs",50,317,82,5
11621,"ucYBNOswfDdVFRQ",34,325,93,4
11359,"MOyZskdlRuu",7,308,66,1
10708,"VNEAqXYSRCNgP",49,316,13,1
11836,"uPVoUqHYSrNzxfZ",12,303,44,6
11942,"lXMvbYqcU",27,342,36,3
10656,"aBcMqQYJPnRBili",39,342,3,6
11561,"nTXrTWywS",7,322,53,7
11952,"ifcpUtXpLzU",5,339,28,7
11558,"YsHaOdGjAsO",35,328,88,5
10894,"QdgyvFbWTW",4,323,86,3
11121,"PtzZdwku",18,313,91,3
11681,"uFFyDRxrTIhAoo",49,347,17,6
11210,"RhsViGfIo",32,346,8,7
11823,"AXZlGiaXpLEAm",4,308,52,1
10925,"FixpoiPNHVy",9,348,58,6
11140,"msIvlMHPf",7,327,4
11016,"YsHaOdGjAsO",46,313,93,3
11904,"UMyHBfYDvWj",30,308,98,4
10700,"fZSDjHZCQ",20,339,01,3
11945,"XYKoHgYqlF",2,329,78,3
11516,"HMAJynIpUNn",16,347,79,2
11902,"sAvvuRNTA",29,301,95,3
11427,"nWwlLESMe",16,339,31,1
11224,"imRtcwQLHjO",48,319,23,7
11700,"hXKMdBNqeHtWvVO",47,309,54,4
11542,"pKwOWeiEfmKivXu",30,326,92,6
11278,"ZiwuLJfvTTxc",49,339,14,1
11101,"UhwXyoryENtKx",45,329,45,5
11940,"PpVjTBYvqsEtGQZ",48,331,92,1
10638,"ojmcodVIgVz",31,320,73,2
11721,"JpCZMAJIpc",4,328,33,1
11155,"mibCbZLNtVkEGRU",42,307,49,2
10963,"WFERRyEjsymDBr",13,344,02,3
11104,"EuAgfYldsYpn",10,350,07,1
10668,"OVQlzJnkpsKOLrd",39,326,37,1
11678,"GfKfqEUNDl",13,302,82,4
10807,"ozcudhJAw",44,325,42,3
11386,"GdSbXfjMRmuGS",48,325,04,2
11792,"mEcFuZtMaoHiLt",14,326,03,4
11704,"etwscCSPeqRse",1,341,7,4
10552,"nhuHZGCIsLvMN",14,321,35,6
11543,"YkUCxslbCSTr",14,314,45,3
11546,"DTsShUkbrMVmCgi",13,303,83,5
11969,"EAjjLhcntHqcnVY",27,342,89,3
10565,"lcPruGqtTXhnio",20,320,98,5
10585,"YOFhPbrFhAOYSM",21,342,18,3
11749,"wQQnTDrJaDRbT",5,348,23,7
11333,"RpuDEfeIdUYnEe",13,329,5,4
11835,"CQJIjigkiFVleY",24,304,55,7
10663,"IagPnqGL",47,326,7,3
10913,"EzBjormlEjb",41,345,37,5
10915,"GXrCNuJpgN",23,325,6,2
11099,"XhxCYMzXohyrw",41,306,32,1
11279,"YPJDohXauKL",18,316,89,7
11999,"NvnXDgiWAoAMQE",6,342,92,3
11429,"ybigBImOEtBk",20,345,17,5
11051,"qMgLQzXklEUFbjx",16,340,62,1
11347,"IlaJsFnxhdC",10,310,59,2
11251,"qAPlDszrjxPF",40,318,53,5
10898,"pvzIWLuctQBAr",32,320,57,2
11770,"fZrIWISaFtfgU",31,343,86,4
10806,"kmxrJhOBAUflmT",15,318,38,2
10568,"AbXuGwJD",22,320,83,6
11923,"UTffbQPQfIqVlyJ",47,327,1,4
11427,"MHasHXZGrKYmQqm",22,336,24,4
10894,"nbdQuFSj",23,315,94,5
10636,"nmFNLlpB",27,320,71,1
11089,"oaUHuCDaRs",7,339,56,7
11470,"DCqukWCbwVGjL",18,344,62,3
11767,"vMJHezAl",21,339,66,2
10989,"IKafHmpvhmoaGSr",36,333,16,6
10638,"iyUjuzlAt",31,335,76,4
11107,"BQHJEgpCQ",34,341,29,7
11336,"MhwAezlRFxj",5,317,98,7
10501,"iyUjuzlAt",25,300,35,4
10672,"LTQaNFbiAd",49,339,66,2
11187,"iyUjuzlAt",44,300,65,7
11613,"rozWvHyvQgbGzS",10,300,76,2
11841,"nxPUivFbkqh",10,347,34,3
10973,"gVdewiqxALbgRL",47,302,05,7
11129,"EJEQVlQrPWEURB",5,322,67,2
10586,"jSWzRzxH",4,322,44,2
10645,"SbjHNsXdIrtDp",14,340,25,7
11968,"sWjbTDEKKfFY",37,328,34,6
10589,"EQemtzMEAjSoJsE",13,313,74,3
11340,"SgTAAzvbyx",48,306,63,7
10869,"byvmYxLBc",41,326,7,7
11483,"KQyRvnGsMidVmPI",36,336,3,6
11337,"WXngGSYG",5,345,86,4
11205,"DCqukWCbwVGjL",22,317,77,3
11170,"PvVroGvvwOD",32,329,62,7
11794,"AGPkOZLXgDIV",9,315,74,3
10825,"bZFjrLRduQtvix",48,318,34,4
11175,"fUTRlmPo",18,344,68,5
11370,"QTBgHzvrN",13,310,03,2
10819,"pDADNSKbzmBl",36,323,76,4
11453,"HXmXviNTafiw",23,348,82,6
11505,"Qdtjocsz",45,329,32,1
11998,"PCHCXydRPaX",34,349,37,5
10719,"brrEwiNfsD",35,317,78,6
10546,"GxqCgdNfGF",43,314,01,3
10842,"cgzljEDTdnfah",2,338,86,4
11584,"telVeMLmwa",50,338,37,1
10614,"HOGRJnrgW",8,335,43,6
10543,"xbPMdZue",19,323,49,1
11418,"wHZTEalSttK",19,320,56,1
11185,"cffuQFAkyBDFC",39,344,14,5
10533,"BidXhuFa",47,308,46,1
11333,"nhuHZGCIsLvMN",13,343,19,7
11638,"CxFUGhhSSHdo",8,305,72,1
11896,"hShWyGqOcxI",18,330,82,4
11678,"sqQGZPPkVPmR",12,325,52,3
11243,"vyhhSZPGRSLaSr",30,344,44,2
11497,"ucYBNOswfDdVFRQ",32,349,18,6
11445,"zXhPhpGJJc",38,303,79,5
11443,"YYOfqjcD",18,324,93,4
11037,"uNttZPHTnBBaoGs",4,315,98,2
11761,"vzrHixUkh",46,306,64,6
11225,"mnVWJVvsw",31,316,95,5
11075,"plgdvvxKHcIvSOP",42,338,46,6
10886,"HXmXviNTafiw",21,342,84,4
10659,"ZtsWdVGY",39,315,47,7
11789,"rjYfmbof",42,343,02,4
11319,"tSvWYFhtidDh",41,317,8,6
11629,"msIvlMHPf",38,344,56,4
11414,"imhtwBqsMd",9,349,11,6
11018,"ziDJIFJWqgTIRnA",2,312,68,6
10503,"FzgGoGSM",44,308,27,4
11564,"WyeVemhWRIEj",36,338,81,1
10675,"hXCjqbFFuqOtVpx",40,322,18,2
11485,"OmsODeYJzgJjo",41,322,44,4
11772,"OeGMpvwegTnsFZ",3,307,18,3
11961,"OKbJTLLaCBiKJWU",22,313,28,2
11229,"oFoUjdwOFqzn",1,338,99,2
10503,"UKkhcbLKWe",46,348,91,7
10765,"YNLtNKVcIeFK",6,316,49,4
11151,"vvAqwlNQ",8,317,34,5
11454,"HnWwaJHfD",10,321,06,3
10563,"iMQjurmm",3,335,73,3
10767,"SZjCEAHkPdaE",18,334,94,1
11525,"JEthJHuMIM",49,314,9,7
10831,"ocfDBrGdsQfNwS",13,338,39,7
11262,"JiTKOORYb",35,347,29,3
11429,"WxVXnVwQpcB",25,340,63,5
11368,"pXhSzVHodZqDo",4,307,84,6
11111,"mEcFuZtMaoHiLt",27,319,82,4
11436,"kgxYtDqxiEL",27,330,78,1
10559,"DgGqHLgtTAMB",2,315,02,3
10601,"YNLtNKVcIeFK",50,322,63,5
10625,"TxaTUebgCJdY",2,314,17,2
10983,"JXKVPOaGc",47,301,8,4
11961,"OvCoVXgqCISG",42,308,29,3
11151,"VbsUiwrKEIWQNN",33,310,89,7
11030,"tfwtZgNXLftl",46,334,39,1
10654,"amStPdRHaYZxZbU",50,342,07,2
10900,"UhwXyoryENtKx",3,342,33,7
10652,"UnzOetIYilpuav",2,320,68,7
10707,"OmsODeYJzgJjo",19,344,87,7
11884,"FWdAIcvtSeDOE",26,307,36,7
10525,"dyrfKjkO",18,304,15,1
10887,"EgdgNvrzJtt",48,326,96,4
11773,"IJjODnfWiuJ",18,334,08,3
11007,"YskyYaTnRc",21,306,8,7
10865,"WwxiDzuvCtY",20,312,52,5
11385,"iBvysrKhWktkUyw",37,325,41,6
10759,"hzvCXZRVNhj",3,313,57,6
11300,"ZxlNaPmDPg",17,335,7,2
10578,"vSqzYjINMSdUc",16,319,16,1
11573,"iMQjurmm",42,337,67,7
11770,"iPDRiRfzHruHbq",4,335,58,1
11692,"VLEaYRYeR",50,318,61,1
11752,"yYWROMmGeYxvU",3,319,43,3
11942,"cCLeTDXjDWX",30,310,27,2
11686,"ehVKKrOxepuzq",26,326,33,2
10941,"jteoJDQjDj",33,323,57,4
11121,"LqjrpHkGZEZY",32,335,44,2
